Kecamatan,Kamar Tidur,Kamar Mandi,Luas Tanah (m²),Luas Bangunan (m²),Sertifikat,Daya Listrik (watt),Ruang Makan,Ruang Tamu,Kondisi Perabotan,Jumlah Lantai,Hadap,Terjangkau Internet,Lebar Jalan (m),Sumber Air,Hook,Kondisi Properti,Aksesibilitas,NJOP (Rp/m²),Tingkat Keamanan,Sewa per Bulan (Rp),Jenis Zona
Dukuh Pakis,4,4,90,94,HGB,2600,0,4,Furnished,6,Barat,Tidak,18,PDAM,Tidak,Bagus,Dekat Sekolah,437590,6,34100000,Perumahan
Dukuh Pakis,8,6,512,642,HGB,7000,0,2,Furnished,4,Utara,Ya,20,PDAM,Tidak,Baru,Dekat Sekolah,509834,10,366800000,Perumahan
Dukuh Pakis,6,8,392,514,AJB,7000,0,4,Furnished,6,Timur,Tidak,12,Air Tanah,Tidak,Bagus,Dekat Sekolah,439456,10,256500000,Campuran
Dukuh Pakis,4,8,976,610,HGB,8800,4,2,Semi-Furnished,4,Utara,Tidak,10,PDAM,Ya,Butuh Renovasi,Dekat Pusat Kota,469908,8,239200000,Campuran
Dukuh Pakis,12,2,794,596,HGB,4400,2,2,Furnished,6,Selatan,Tidak,8,PDAM,Tidak,Butuh Renovasi,Dekat Jalan Raya,483884,10,318000000,Perumahan
Dukuh Pakis,2,4,1168,642,HGB,8800,0,0,Furnished,6,Utara,Ya,22,Air Tanah,Tidak,Butuh Renovasi,Dekat Jalan Raya,494150,10,219200000,Campuran
Dukuh Pakis,2,4,670,240,HGB,2600,4,4,Unfurnished,2,Selatan,Ya,18,PDAM,Tidak,Butuh Renovasi,Dekat Sekolah,452132,6,36500000,Perumahan
Dukuh Pakis,6,6,752,432,HGB,7000,0,4,Unfurnished,4,Barat,Tidak,20,Air Tanah,Ya,Bagus,Dekat Jalan Raya,464682,10,163100000,Komersial
Dukuh Pakis,10,2,108,116,HGB,1800,0,2,Semi-Furnished,6,Barat,Tidak,22,PDAM,Tidak,Butuh Renovasi,Dekat Pusat Kota,421614,4,37900000,Campuran
Dukuh Pakis,2,8,170,76,AJB,1800,2,0,Semi-Furnished,2,Barat,Tidak,10,Sumur,Ya,Baru,Dekat Pusat Kota,411984,4,20000000,Komersial
Gayungan,12,4,454,304,HGB,4400,0,4,Semi-Furnished,2,Timur,Ya,14,PDAM,Ya,Baru,Dekat Sekolah,434774,8,116200000,Campuran
Gayungan,6,6,450,488,HGB,8800,4,0,Furnished,6,Selatan,Tidak,10,PDAM,Tidak,Butuh Renovasi,Dekat Jalan Raya,463346,10,180900000,Campuran
Gayungan,2,6,602,614,AJB,8800,4,2,Unfurnished,6,Timur,Tidak,22,Sumur,Ya,Bagus,Dekat Pusat Kota,445744,8,221600000,Perumahan
Gayungan,8,6,1096,968,AJB,8800,2,2,Unfurnished,4,Timur,Tidak,12,Air Tanah,Ya,Baru,Dekat Jalan Raya,437794,8,497400000,Komersial
Gayungan,6,2,712,726,AJB,7000,4,2,Semi-Furnished,4,Utara,Tidak,10,Sumur,Tidak,Baru,Dekat Jalan Raya,446612,10,315200000,Komersial
Gayungan,4,4,316,206,AJB,2600,0,4,Unfurnished,4,Utara,Tidak,12,PDAM,Ya,Bagus,Dekat Sekolah,398346,4,38900000,Campuran
Gayungan,10,4,186,164,SHM,1800,4,0,Furnished,6,Selatan,Ya,4,Sumur,Tidak,Butuh Renovasi,Dekat Sekolah,420322,10,62500000,Perumahan
Gayungan,4,6,618,616,HGB,4400,0,2,Unfurnished,6,Utara,Ya,8,PDAM,Ya,Baru,Dekat Sekolah,426234,8,220800000,Campuran
Gayungan,8,2,358,118,HGB,1800,0,2,Unfurnished,6,Barat,Tidak,12,Air Tanah,Ya,Baru,Dekat Pusat Kota,427292,10,52900000,Komersial
Gayungan,4,2,294,450,SHM,7000,0,2,Unfurnished,4,Barat,Ya,14,PDAM,Ya,Bagus,Dekat Pusat Kota,463212,10,122400000,Campuran
Gayungan,2,8,508,230,AJB,2600,0,4,Semi-Furnished,4,Barat,Tidak,4,Sumur,Tidak,Baru,Dekat Pusat Kota,410698,8,74900000,Campuran
Gayungan,4,6,742,444,SHM,8800,2,0,Semi-Furnished,2,Selatan,Tidak,22,PDAM,Tidak,Baru,Dekat Jalan Raya,395334,10,148900000,Komersial
Gayungan,12,8,688,134,HGB,1800,0,2,Furnished,4,Selatan,Ya,14,Sumur,Tidak,Butuh Renovasi,Dekat Sekolah,410660,10,60500000,Komersial
Gayungan,12,6,1136,248,AJB,4400,0,4,Semi-Furnished,4,Utara,Tidak,4,Air Tanah,Tidak,Butuh Renovasi,Dekat Jalan Raya,406346,8,88800000,Campuran
Gayungan,4,8,1054,974,HGB,8800,4,0,Semi-Furnished,2,Barat,Ya,18,PDAM,Tidak,Bagus,Dekat Sekolah,414436,10,387400000,Komersial
Gayungan,6,2,458,572,SHM,4400,4,2,Semi-Furnished,4,Timur,Tidak,14,PDAM,Tidak,Butuh Renovasi,Dekat Sekolah,437388,10,139600000,Komersial
Gayungan,6,2,806,124,HGB,1800,4,4,Semi-Furnished,4,Barat,Ya,6,Sumur,Ya,Baru,Dekat Sekolah,422034,6,39400000,Campuran
Gayungan,2,2,436,358,AJB,4400,0,0,Furnished,2,Timur,Ya,10,Air Tanah,Ya,Baru,Dekat Pusat Kota,428576,10,91500000,Campuran
Gayungan,2,8,666,258,HGB,2600,0,0,Furnished,6,Timur,Ya,4,Air Tanah,Ya,Butuh Renovasi,Dekat Jalan Raya,409800,10,79900000,Perumahan
Gayungan,2,8,794,420,HGB,7000,2,0,Unfurnished,6,Utara,Ya,16,PDAM,Tidak,Bagus,Dekat Jalan Raya,459186,8,125100000,Perumahan
Gayungan,6,4,228,168,AJB,1800,0,4,Unfurnished,6,Barat,Ya,22,PDAM,Tidak,Bagus,Dekat Jalan Raya,396164,8,47900000,Campuran
Gayungan,12,2,766,94,AJB,1800,2,4,Unfurnished,2,Barat,Tidak,6,Sumur,Ya,Baru,Dekat Pusat Kota,377476,6,26600000,Campuran
Gayungan,8,8,602,308,AJB,4400,2,2,Furnished,6,Timur,Tidak,20,Sumur,Ya,Baru,Dekat Jalan Raya,383986,8,232400000,Komersial
Gayungan,10,6,182,192,AJB,1800,2,2,Semi-Furnished,2,Selatan,Ya,22,Sumur,Ya,Butuh Renovasi,Dekat Pusat Kota,376970,8,62700000,Komersial
Gayungan,8,6,100,156,HGB,2600,0,2,Semi-Furnished,6,Timur,Tidak,6,PDAM,Tidak,Baru,Dekat Pusat Kota,450070,10,79800000,Perumahan
Gayungan,10,4,356,458,AJB,7000,0,2,Furnished,6,Timur,Ya,20,PDAM,Tidak,Bagus,Dekat Pusat Kota,458728,10,286000000,Perumahan
Gayungan,10,8,352,536,AJB,7000,4,0,Furnished,4,Selatan,Tidak,6,Sumur,Ya,Bagus,Dekat Sekolah,451424,10,280800000,Campuran
Gayungan,10,6,966,630,HGB,8800,0,4,Furnished,6,Timur,Ya,14,Air Tanah,Ya,Bagus,Dekat Pusat Kota,444070,10,537300000,Komersial
Gayungan,12,6,980,728,AJB,8800,2,2,Unfurnished,6,Barat,Ya,14,Air Tanah,Ya,Baru,Dekat Jalan Raya,485206,8,440700000,Campuran
Gayungan,2,4,148,326,SHM,2600,2,2,Furnished,4,Selatan,Ya,18,Sumur,Ya,Butuh Renovasi,Dekat Pusat Kota,422062,10,83900000,Campuran
Gayungan,2,6,528,592,AJB,8800,4,4,Furnished,4,Barat,Ya,18,Sumur,Tidak,Baru,Dekat Pusat Kota,442596,10,228600000,Campuran
Gayungan,12,8,946,154,HGB,2600,4,4,Semi-Furnished,6,Utara,Ya,8,PDAM,Ya,Baru,Dekat Jalan Raya,416924,10,109000000,Komersial
Gayungan,2,4,434,472,HGB,7000,4,4,Furnished,4,Utara,Tidak,6,Sumur,Tidak,Bagus,Dekat Sekolah,390916,10,115100000,Perumahan
Genteng,6,4,958,388,AJB,2600,2,0,Unfurnished,6,Barat,Tidak,22,Sumur,Ya,Bagus,Dekat Pusat Kota,603762,8,241000000,Campuran
Genteng,2,2,1096,694,SHM,7000,0,0,Semi-Furnished,2,Utara,Tidak,16,PDAM,Ya,Bagus,Dekat Sekolah,658904,10,242800000,Komersial
Genteng,2,8,230,340,HGB,4400,2,4,Furnished,2,Utara,Tidak,14,Sumur,Ya,Baru,Dekat Pusat Kota,684772,10,156900000,Perumahan
Genteng,2,4,84,94,SHM,1800,0,2,Semi-Furnished,2,Selatan,Ya,8,Air Tanah,Ya,Bagus,Dekat Jalan Raya,661144,8,24500000,Perumahan
Genteng,6,4,864,296,AJB,4400,0,2,Unfurnished,4,Barat,Tidak,12,Sumur,Ya,Baru,Dekat Pusat Kota,572308,10,154100000,Komersial
Genteng,2,4,428,196,AJB,1800,2,4,Unfurnished,6,Selatan,Tidak,16,PDAM,Ya,Butuh Renovasi,Dekat Jalan Raya,652414,10,42800000,Perumahan
Genteng,6,8,776,66,AJB,1800,0,2,Semi-Furnished,2,Utara,Ya,20,Sumur,Tidak,Butuh Renovasi,Dekat Pusat Kota,565178,4,21600000,Campuran
Genteng,6,6,518,384,AJB,4400,2,4,Furnished,6,Utara,Ya,8,Air Tanah,Tidak,Butuh Renovasi,Dekat Jalan Raya,651534,10,189900000,Campuran
Genteng,6,4,606,596,HGB,8800,4,2,Unfurnished,4,Utara,Tidak,4,PDAM,Tidak,Butuh Renovasi,Dekat Pusat Kota,639578,10,271900000,Campuran
Genteng,2,4,402,282,HGB,2600,4,4,Semi-Furnished,4,Utara,Ya,18,Sumur,Tidak,Butuh Renovasi,Dekat Pusat Kota,640902,10,107200000,Komersial
Genteng,10,8,90,152,HGB,1800,2,4,Furnished,2,Timur,Ya,6,PDAM,Tidak,Butuh Renovasi,Dekat Jalan Raya,580812,10,66100000,Perumahan
Genteng,8,6,380,304,HGB,4400,0,2,Semi-Furnished,2,Selatan,Tidak,22,Sumur,Tidak,Butuh Renovasi,Dekat Jalan Raya,572982,10,115600000,Campuran
Genteng,10,6,552,70,AJB,1800,0,0,Unfurnished,2,Utara,Tidak,18,PDAM,Tidak,Butuh Renovasi,Dekat Sekolah,659634,6,20500000,Komersial
Genteng,6,6,616,812,HGB,13200,2,4,Unfurnished,2,Barat,Ya,20,Air Tanah,Ya,Bagus,Dekat Jalan Raya,628216,10,392300000,Perumahan
Genteng,2,2,1018,388,AJB,4400,0,2,Unfurnished,6,Selatan,Tidak,14,PDAM,Ya,Baru,Dekat Jalan Raya,684938,10,179100000,Komersial
Genteng,4,2,248,198,SHM,1800,2,0,Semi-Furnished,6,Selatan,Ya,18,Sumur,Tidak,Bagus,Dekat Sekolah,643394,10,85700000,Perumahan
Genteng,6,2,394,440,AJB,7000,2,4,Unfurnished,2,Utara,Tidak,20,PDAM,Ya,Baru,Dekat Pusat Kota,648540,10,164500000,Komersial
Genteng,10,2,98,60,AJB,1800,4,2,Unfurnished,6,Barat,Tidak,10,Sumur,Ya,Baru,Dekat Jalan Raya,557320,4,31200000,Perumahan
Genteng,10,4,624,218,HGB,4400,0,2,Semi-Furnished,2,Selatan,Tidak,24,PDAM,Tidak,Butuh Renovasi,Dekat Sekolah,573456,10,87200000,Campuran
Genteng,10,4,884,392,SHM,4400,4,0,Semi-Furnished,4,Barat,Tidak,18,Air Tanah,Tidak,Butuh Renovasi,Dekat Sekolah,633546,10,192200000,Perumahan
Genteng,8,4,344,402,AJB,8800,0,4,Furnished,4,Timur,Tidak,8,Sumur,Ya,Butuh Renovasi,Dekat Jalan Raya,654138,10,188900000,Perumahan
Genteng,6,8,682,512,SHM,8800,4,2,Unfurnished,6,Timur,Ya,8,Air Tanah,Ya,Baru,Dekat Pusat Kota,658876,10,508300000,Komersial
Genteng,2,4,572,166,SHM,1800,0,2,Semi-Furnished,2,Utara,Ya,12,Air Tanah,Ya,Bagus,Dekat Sekolah,581406,8,44800000,Perumahan
Genteng,2,8,370,106,SHM,1800,0,0,Unfurnished,6,Barat,Tidak,18,Air Tanah,Ya,Bagus,Dekat Pusat Kota,567280,6,55600000,Campuran
Genteng,4,4,118,212,HGB,4400,4,4,Unfurnished,4,Timur,Tidak,14,Sumur,Ya,Butuh Renovasi,Dekat Sekolah,588870,10,44800000,Perumahan
Genteng,8,6,448,276,HGB,4400,2,0,Unfurnished,2,Timur,Tidak,12,PDAM,Ya,Baru,Dekat Pusat Kota,632978,10,163400000,Campuran
Genteng,2,2,354,248,SHM,2600,4,0,Furnished,6,Selatan,Tidak,4,PDAM,Ya,Baru,Dekat Jalan Raya,641158,10,103900000,Perumahan
Genteng,8,2,824,348,SHM,2600,0,4,Unfurnished,2,Barat,Tidak,12,Air Tanah,Tidak,Bagus,Dekat Pusat Kota,621740,8,149600000,Perumahan
Genteng,6,6,192,160,SHM,1800,2,4,Unfurnished,4,Selatan,Ya,22,Sumur,Tidak,Bagus,Dekat Sekolah,664864,8,69900000,Perumahan
Genteng,10,2,1148,914,HGB,11000,0,2,Unfurnished,4,Barat,Ya,24,Air Tanah,Ya,Bagus,Dekat Sekolah,728502,10,718200000,Komersial
Genteng,8,6,874,158,HGB,1800,0,2,Semi-Furnished,6,Timur,Tidak,6,PDAM,Tidak,Bagus,Dekat Jalan Raya,591056,10,102700000,Campuran
Genteng,4,2,362,164,AJB,1800,0,4,Furnished,2,Selatan,Tidak,24,Air Tanah,Ya,Baru,Dekat Pusat Kota,560016,8,70200000,Komersial
Genteng,12,4,654,700,HGB,8800,2,2,Semi-Furnished,4,Utara,Ya,4,PDAM,Tidak,Butuh Renovasi,Dekat Pusat Kota,676752,10,481100000,Perumahan
Gubeng,8,6,328,212,HGB,4400,4,0,Furnished,6,Barat,Ya,20,PDAM,Ya,Butuh Renovasi,Dekat Jalan Raya,581588,10,115600000,Komersial
Gubeng,2,6,130,76,SHM,2600,2,2,Semi-Furnished,6,Selatan,Ya,24,PDAM,Ya,Butuh Renovasi,Dekat Pusat Kota,569942,4,23700000,Campuran
Gubeng,6,8,1198,1028,HGB,8800,4,0,Furnished,2,Selatan,Tidak,16,Air Tanah,Tidak,Butuh Renovasi,Dekat Sekolah,557072,10,508600000,Campuran
Gubeng,8,2,194,150,HGB,1800,4,0,Semi-Furnished,6,Utara,Ya,6,Air Tanah,Ya,Baru,Dekat Sekolah,575814,10,67700000,Perumahan
Gubeng,12,4,200,366,SHM,4400,2,4,Furnished,6,Utara,Ya,22,Sumur,Tidak,Butuh Renovasi,Dekat Sekolah,517838,10,195400000,Campuran
Gubeng,4,8,290,222,AJB,2600,0,4,Semi-Furnished,4,Utara,Ya,20,Sumur,Ya,Baru,Dekat Pusat Kota,586864,10,107600000,Komersial
Gubeng,8,2,236,124,SHM,2600,0,4,Semi-Furnished,2,Timur,Tidak,20,PDAM,Tidak,Butuh Renovasi,Dekat Jalan Raya,533386,6,33700000,Perumahan
Gubeng,4,8,172,106,AJB,1800,2,0,Furnished,4,Selatan,Tidak,8,Sumur,Tidak,Butuh Renovasi,Dekat Jalan Raya,482528,6,33400000,Perumahan
Gubeng,10,2,620,270,HGB,4400,0,2,Semi-Furnished,2,Selatan,Ya,18,Air Tanah,Ya,Butuh Renovasi,Dekat Sekolah,524760,8,85900000,Campuran
Gubeng,6,8,132,116,SHM,2600,0,0,Furnished,2,Barat,Tidak,22,PDAM,Tidak,Butuh Renovasi,Dekat Pusat Kota,526092,6,36300000,Campuran
Gubeng,2,4,500,424,SHM,7000,2,4,Semi-Furnished,2,Selatan,Ya,4,PDAM,Ya,Bagus,Dekat Pusat Kota,576750,10,129900000,Campuran
Gubeng,6,8,288,88,SHM,2600,2,4,Furnished,6,Barat,Tidak,8,Sumur,Tidak,Bagus,Dekat Jalan Raya,516406,10,50100000,Perumahan
Gubeng,6,8,1068,896,HGB,13200,2,4,Unfurnished,6,Timur,Ya,14,Air Tanah,Tidak,Baru,Dekat Sekolah,570346,10,646400000,Komersial
Gubeng,4,6,1016,1168,AJB,11000,2,2,Furnished,2,Timur,Tidak,8,Sumur,Tidak,Butuh Renovasi,Dekat Jalan Raya,583084,10,469600000,Campuran
Gubeng,6,2,400,136,HGB,2600,2,4,Unfurnished,2,Selatan,Tidak,14,Air Tanah,Ya,Baru,Dekat Sekolah,581432,10,41000000,Campuran
Gubeng,10,6,246,408,SHM,8800,2,0,Furnished,6,Timur,Tidak,4,Air Tanah,Ya,Bagus,Dekat Jalan Raya,499632,8,338800000,Campuran
Gubeng,6,8,460,360,HGB,4400,2,4,Semi-Furnished,6,Selatan,Tidak,14,PDAM,Tidak,Butuh Renovasi,Dekat Jalan Raya,548682,8,143300000,Perumahan
Gubeng,6,6,396,282,SHM,2600,2,4,Furnished,6,Selatan,Ya,10,Air Tanah,Ya,Bagus,Dekat Sekolah,507150,10,174200000,Perumahan
Gubeng,6,8,966,990,AJB,11000,0,4,Semi-Furnished,2,Timur,Tidak,22,PDAM,Ya,Baru,Dekat Pusat Kota,633688,10,787400000,Komersial
Gubeng,8,6,1026,1062,SHM,8800,4,0,Unfurnished,6,Timur,Ya,22,Air Tanah,Ya,Baru,Dekat Jalan Raya,658616,8,1030400000,Campuran
Gubeng,2,6,512,378,AJB,4400,0,2,Semi-Furnished,2,Utara,Tidak,6,Sumur,Ya,Bagus,Dekat Jalan Raya,530140,8,117400000,Komersial
Gubeng,6,6,336,362,AJB,2600,0,4,Semi-Furnished,4,Utara,Tidak,8,Air Tanah,Tidak,Butuh Renovasi,Dekat Pusat Kota,516206,8,117900000,Campuran
Gubeng,4,8,936,420,AJB,7000,2,4,Unfurnished,6,Selatan,Tidak,14,PDAM,Tidak,Butuh Renovasi,Dekat Pusat Kota,568560,10,205900000,Komersial
Gubeng,10,8,446,594,SHM,7000,0,0,Semi-Furnished,2,Selatan,Ya,24,Air Tanah,Tidak,Butuh Renovasi,Dekat Jalan Raya,548414,10,287900000,Perumahan
Gubeng,8,4,736,288,AJB,4400,4,0,Unfurnished,6,Utara,Tidak,8,PDAM,Tidak,Baru,Dekat Sekolah,491930,10,153700000,Komersial
Gubeng,12,6,810,846,HGB,11000,4,2,Unfurnished,4,Barat,Ya,4,Air Tanah,Tidak,Butuh Renovasi,Dekat Sekolah,592086,10,423400000,Campuran
Gubeng,12,8,1038,230,HGB,4400,4,0,Furnished,6,Selatan,Tidak,20,Air Tanah,Ya,Baru,Dekat Pusat Kota,588994,8,264600000,Komersial
Gubeng,6,8,812,614,HGB,7000,4,0,Furnished,4,Selatan,Tidak,16,Sumur,Ya,Butuh Renovasi,Dekat Jalan Raya,566464,10,336400000,Perumahan
Gubeng,2,6,214,202,AJB,2600,4,2,Unfurnished,4,Barat,Ya,12,Air Tanah,Ya,Butuh Renovasi,Dekat Jalan Raya,534124,4,36300000,Perumahan
Gubeng,8,6,304,196,HGB,1800,2,2,Semi-Furnished,4,Barat,Ya,20,Air Tanah,Tidak,Butuh Renovasi,Dekat Sekolah,549576,8,70000000,Campuran
Gubeng,2,6,242,276,AJB,4400,0,4,Semi-Furnished,4,Timur,Tidak,18,Air Tanah,Tidak,Butuh Renovasi,Dekat Jalan Raya,533048,10,68400000,Perumahan
Gubeng,2,8,620,338,SHM,2600,0,0,Unfurnished,6,Barat,Tidak,22,Air Tanah,Ya,Baru,Dekat Jalan Raya,521482,10,160200000,Komersial
Gubeng,4,4,398,228,SHM,2600,4,2,Semi-Furnished,2,Timur,Ya,6,Sumur,Tidak,Bagus,Dekat Sekolah,571670,8,75000000,Komersial
Gunung Anyar,10,6,1092,558,HGB,7000,4,4,Furnished,4,Timur,Ya,12,Air Tanah,Tidak,Baru,Dekat Jalan Raya,379616,10,310300000,Perumahan
Gunung Anyar,10,4,718,732,HGB,8800,0,2,Unfurnished,4,Utara,Tidak,16,Air Tanah,Ya,Baru,Dekat Jalan Raya,350164,10,253200000,Perumahan
Gunung Anyar,8,6,562,278,AJB,4400,4,4,Furnished,2,Selatan,Ya,4,PDAM,Ya,Baru,Dekat Jalan Raya,361078,10,100900000,Perumahan
Gunung Anyar,12,2,334,446,AJB,4400,2,0,Unfurnished,2,Timur,Tidak,10,Sumur,Ya,Bagus,Dekat Pusat Kota,368062,10,117900000,Campuran
Gunung Anyar,8,2,1040,634,SHM,7000,4,2,Furnished,6,Utara,Tidak,22,PDAM,Tidak,Baru,Dekat Pusat Kota,373742,8,396400000,Komersial
Gunung Anyar,6,6,556,592,AJB,8800,4,2,Furnished,6,Selatan,Tidak,22,Air Tanah,Ya,Butuh Renovasi,Dekat Pusat Kota,339302,8,252100000,Komersial
Gunung Anyar,6,2,484,618,SHM,4400,2,0,Unfurnished,2,Timur,Ya,24,Air Tanah,Tidak,Butuh Renovasi,Dekat Jalan Raya,355816,10,100100000,Campuran
Gunung Anyar,8,6,866,892,HGB,13200,2,2,Semi-Furnished,4,Barat,Tidak,10,Sumur,Ya,Butuh Renovasi,Dekat Sekolah,420132,10,302400000,Campuran
Gunung Anyar,2,2,478,270,HGB,2600,4,0,Furnished,6,Selatan,Ya,24,PDAM,Tidak,Baru,Dekat Pusat Kota,370224,8,95000000,Campuran
Gunung Anyar,2,4,1124,938,AJB,13200,4,4,Semi-Furnished,4,Utara,Ya,10,Sumur,Ya,Butuh Renovasi,Dekat Pusat Kota,361620,10,246600000,Komersial
Gunung Anyar,4,8,1144,636,SHM,4400,0,0,Unfurnished,2,Selatan,Tidak,6,Sumur,Tidak,Baru,Dekat Sekolah,346712,10,215000000,Campuran
Gunung Anyar,8,4,456,62,SHM,1800,2,0,Furnished,2,Barat,Ya,14,Sumur,Ya,Bagus,Dekat Jalan Raya,314002,4,14800000,Campuran
Gunung Anyar,2,2,444,152,HGB,1800,4,0,Furnished,2,Selatan,Tidak,24,Sumur,Tidak,Butuh Renovasi,Dekat Pusat Kota,354586,4,23000000,Campuran
Gunung Anyar,10,6,630,644,HGB,8800,2,0,Semi-Furnished,6,Timur,Ya,24,Sumur,Tidak,Baru,Dekat Pusat Kota,395170,8,485900000,Komersial
Gunung Anyar,12,8,274,376,AJB,4400,2,4,Furnished,6,Barat,Tidak,14,PDAM,Tidak,Bagus,Dekat Jalan Raya,349188,10,203400000,Perumahan
Gunung Anyar,4,4,938,452,HGB,4400,0,4,Semi-Furnished,4,Timur,Tidak,16,Air Tanah,Tidak,Butuh Renovasi,Dekat Pusat Kota,384110,10,131500000,Komersial
Gunung Anyar,8,4,1076,856,HGB,13200,2,4,Unfurnished,6,Utara,Tidak,6,PDAM,Tidak,Bagus,Dekat Jalan Raya,386870,10,356500000,Komersial
Gunung Anyar,10,8,1174,894,HGB,11000,0,4,Semi-Furnished,4,Utara,Ya,12,Sumur,Tidak,Butuh Renovasi,Dekat Sekolah,397838,10,436800000,Komersial
Gunung Anyar,12,4,1040,566,AJB,8800,4,4,Furnished,2,Barat,Ya,14,PDAM,Tidak,Bagus,Dekat Pusat Kota,398622,10,310100000,Komersial
Gunung Anyar,2,6,314,468,HGB,7000,0,2,Unfurnished,4,Selatan,Ya,20,Air Tanah,Tidak,Baru,Dekat Jalan Raya,376232,10,92500000,Perumahan
Gunung Anyar,12,4,280,396,HGB,4400,0,2,Unfurnished,6,Timur,Tidak,8,PDAM,Tidak,Bagus,Dekat Jalan Raya,364216,10,165400000,Perumahan
Gunung Anyar,2,2,970,1010,AJB,8800,4,2,Furnished,6,Selatan,Ya,12,Sumur,Ya,Baru,Dekat Jalan Raya,406968,8,318600000,Perumahan
Gunung Anyar,4,4,626,692,HGB,4400,4,4,Furnished,6,Barat,Ya,14,Air Tanah,Tidak,Butuh Renovasi,Dekat Sekolah,369418,10,173600000,Campuran
Gunung Anyar,8,4,570,178,AJB,2600,2,4,Furnished,4,Barat,Tidak,6,PDAM,Tidak,Baru,Dekat Jalan Raya,373132,10,67800000,Perumahan
Gunung Anyar,2,6,124,164,SHM,2600,4,4,Semi-Furnished,4,Selatan,Tidak,24,PDAM,Ya,Baru,Dekat Sekolah,358826,8,44100000,Komersial
Gunung Anyar,6,8,970,670,HGB,4400,4,0,Furnished,4,Selatan,Ya,22,PDAM,Ya,Bagus,Dekat Jalan Raya,342510,10,271400000,Campuran
Gunung Anyar,2,4,360,376,HGB,2600,4,4,Furnished,2,Utara,Tidak,18,PDAM,Tidak,Bagus,Dekat Sekolah,352314,10,68200000,Perumahan
Gunung Anyar,2,6,986,1122,SHM,8800,0,4,Unfurnished,2,Selatan,Ya,6,PDAM,Tidak,Butuh Renovasi,Dekat Jalan Raya,420318,10,245400000,Komersial
Gunung Anyar,8,2,134,208,SHM,4400,4,0,Semi-Furnished,2,Barat,Ya,24,Sumur,Ya,Butuh Renovasi,Dekat Sekolah,345476,4,34400000,Campuran
Gunung Anyar,8,4,1090,138,HGB,2600,2,0,Furnished,6,Timur,Ya,24,PDAM,Tidak,Bagus,Dekat Jalan Raya,372724,6,53100000,Komersial
Gunung Anyar,10,8,770,286,SHM,4400,2,2,Semi-Furnished,6,Timur,Tidak,4,Air Tanah,Ya,Bagus,Dekat Jalan Raya,346356,10,131400000,Campuran
Gunung Anyar,6,6,528,258,HGB,4400,4,2,Semi-Furnished,4,Utara,Ya,12,PDAM,Tidak,Bagus,Dekat Pusat Kota,342612,8,96200000,Campuran
Jambangan,10,2,1096,434,SHM,8800,0,2,Semi-Furnished,2,Selatan,Ya,4,Air Tanah,Ya,Baru,Dekat Sekolah,403100,10,133700000,Perumahan
Jambangan,2,2,426,188,HGB,2600,2,2,Semi-Furnished,4,Barat,Ya,6,Air Tanah,Ya,Butuh Renovasi,Dekat Sekolah,377928,6,23600000,Perumahan
Jambangan,6,6,254,270,SHM,4400,2,2,Semi-Furnished,4,Timur,Ya,16,Air Tanah,Ya,Bagus,Dekat Pusat Kota,364586,8,87100000,Perumahan
Jambangan,2,4,620,722,HGB,4400,0,2,Furnished,2,Utara,Tidak,8,Sumur,Tidak,Baru,Dekat Pusat Kota,439310,8,254100000,Perumahan
Jambangan,4,4,562,742,HGB,4400,0,4,Unfurnished,2,Barat,Tidak,12,PDAM,Tidak,Baru,Dekat Pusat Kota,463486,8,187500000,Campuran
Jambangan,8,4,814,836,SHM,13200,4,2,Semi-Furnished,2,Selatan,Ya,14,Sumur,Ya,Bagus,Dekat Jalan Raya,395528,10,343300000,Komersial
Jambangan,2,2,250,262,AJB,4400,0,4,Furnished,6,Timur,Tidak,16,PDAM,Ya,Butuh Renovasi,Dekat Jalan Raya,362502,10,54000000,Perumahan
Jambangan,6,4,936,238,HGB,4400,4,0,Furnished,2,Barat,Tidak,8,Sumur,Ya,Bagus,Dekat Pusat Kota,401500,10,87100000,Campuran
Jambangan,8,2,460,468,SHM,8800,4,0,Semi-Furnished,4,Timur,Ya,10,Air Tanah,Ya,Butuh Renovasi,Dekat Sekolah,446624,10,103700000,Perumahan
Jambangan,8,4,1024,430,HGB,8800,2,0,Unfurnished,2,Selatan,Tidak,14,Air Tanah,Tidak,Butuh Renovasi,Dekat Sekolah,382712,10,108400000,Komersial
Jambangan,10,4,418,96,SHM,2600,2,0,Unfurnished,2,Selatan,Tidak,10,PDAM,Tidak,Baru,Dekat Pusat Kota,360534,4,28500000,Campuran
Jambangan,10,8,1068,138,AJB,1800,0,4,Furnished,6,Selatan,Ya,18,Air Tanah,Ya,Baru,Dekat Jalan Raya,413170,8,96200000,Perumahan
Jambangan,12,2,936,292,AJB,2600,0,0,Furnished,4,Selatan,Tidak,4,PDAM,Tidak,Butuh Renovasi,Dekat Sekolah,427088,10,115900000,Komersial
Jambangan,8,6,492,220,SHM,2600,0,2,Unfurnished,4,Selatan,Ya,6,Sumur,Ya,Butuh Renovasi,Dekat Jalan Raya,373716,10,56600000,Campuran
Jambangan,4,4,276,210,HGB,4400,0,2,Semi-Furnished,6,Barat,Tidak,18,Sumur,Ya,Butuh Renovasi,Dekat Sekolah,364836,8,48700000,Campuran
