Alamat,Kecamatan,Njop (Rp/M²),Sertifikat,Sewa Per Bulan (Rp),Luas Tanah (M²),Jenis Zona,Aksesibilitas,Tingkat Keamanan,Kepadatan_Penduduk
"Jl. Pakal No. 10, Surabaya",Pakal,2407183.18,Lainnya,25653989.36,4441.74,Industri,Baik,tinggi,59971
"Jl. Dukuh Pakis No. 4, Surabaya",Dukuh Pakis,9497016.62,SHM,33097818.78,1310.04,Perumahan,Baik,rendah,56707
"Jl. Asemrowo No. 1, Surabaya",Asemrowo,5228796.6,HGB,178793474.34,14475.92,Industri,Buruk,rendah,45547
"Jl. Sukolilo No. 13, Surabaya",Sukolilo,7691932.72,HGB,148053400.1,7888.28,Perumahan,Baik,tinggi,110557
"Jl. Kenjeran No. 45, Kenjeran, Surabaya",Kenjeran,3724000.0,SHM,20947500.0,2250.0,Perumahan,Baik,rendah,181325
"Jl. Pakal No. 10, Surabaya",Pakal,2301595.66,HGB,8470192.74,1425.02,Industri,Baik,tinggi,59971
"Jl. Petemon No. 77, Sawahan, Surabaya",Sawahan,2832000.0,SHM,40058640.0,5658.0,Perumahan,Baik,tinggi,188693
"Jl. Raya Lontar No. 88, Sambikerep, Surabaya",Sambikerep,2064000.0,HGB,21785520.0,4222.0,Industri,Buruk,rendah,63778
"Jl. Asemrowo No. 1, Surabaya",Asemrowo,4848126.6,HGB,1525862.14,125.96,Industri,Buruk,tinggi,45547
"Jl. Dukuh Pakis No. 4, Surabaya",Dukuh Pakis,9159735.94,SHM,123624994.1,17467.46,Industri,Buruk,rendah,56707
"Jl. Semampir No. 11, Surabaya",Semampir,3414795.68,Lainnya,170392761.7,17117.26,Perumahan,Baik,tinggi,172669
"Jl. Karang Pilang No. 7, Surabaya",Karang Pilang,3656544.02,HGB,68419909.06,8562.28,Industri,Buruk,tinggi,75315
"Jl. Raya Gubeng No. 60, Surabaya",Gubeng,11250000.0,SHM,46912500.0,1668.0,Komersial,Buruk,rendah,123961
"Jl. Raya Rungkut No. 88, Rungkut, Surabaya",Rungkut,4704000.0,Lainnya,1881600.0,160.0,Perumahan,Buruk,rendah,123757
"Jl. Semampir No. 11, Surabaya",Semampir,3749965.4,SHM,69000422.74,7878.34,Perumahan,Baik,rendah,172669
"Jl. Raya Lakarsantri No. 10, Surabaya",Lakarsantri,2064000.0,SHM,10320000.0,2000.0,Perumahan,Baik,tinggi,59256
"Jl. Bubutan No. 2, Surabaya",Bubutan,8380180.1,HGB,118817307.7,5977.82,Perumahan,Buruk,rendah,90646
"Jl. Petemon No. 77, Sawahan, Surabaya",Sawahan,2832000.0,HGB,7037520.0,994.0,Perumahan,Buruk,tinggi,188693
"Jl. HR Muhammad No. 80, Sukomanunggal, Surabaya",Sukomanunggal,11250000.0,Lainnya,103500000.0,3680.0,Industri,Buruk,tinggi,101259
"Jl. Sukolilo No. 13, Surabaya",Sukolilo,7605806.74,Lainnya,66345791.52,3118.74,Perumahan,Buruk,tinggi,110557
"Jl. Kenjeran No. 45, Kenjeran, Surabaya",Kenjeran,3724000.0,SHM,11172000.0,1200.0,Perumahan,Baik,tinggi,181325
"Jl. Raya Rungkut No. 88, Rungkut, Surabaya",Rungkut,4704000.0,SHM,12936000.0,1100.0,Perumahan,Baik,rendah,123757
"Jl. Dukuh Pakis No. 4, Surabaya",Dukuh Pakis,10515000.28,SHM,32066052.8,1299.88,Perumahan,Baik,rendah,56707
"Jl. Semampir No. 11, Surabaya",Semampir,3677218.6,Lainnya,167945745.02,17373.06,Perumahan,Buruk,tinggi,172669
"Jl. Pakal No. 10, Surabaya",Pakal,2396306.64,SHM,82778239.32,13483.82,Industri,Baik,tinggi,59971
"Jl. Raya Sememi No. 15, Benowo, Surabaya",Benowo,2064000.0,SHM,124239250.0,80000.0,Industri,Baik,tinggi,69938
"Jl. Pakal No. 10, Surabaya",Pakal,2366404.98,HGB,103019959.58,16567.9,Industri,Baik,tinggi,59971
"Jl. Tambaksari No. 5, Tambaksari, Surabaya",Tambaksari,4704000.0,SHM,47040000.0,4000.0,Perumahan,Baik,tinggi,214966
"Jl. Raya Lakarsantri No. 10, Surabaya",Lakarsantri,2064000.0,SHM,8256000.0,1600.0,Industri,Baik,tinggi,59256
"Jl. Krembangan No. 8, Surabaya",Krembangan,6881943.84,HGB,71481303.84,4108.12,Industri,Baik,rendah,109027
"Jl. Krembangan No. 8, Surabaya",Krembangan,7252525.14,SHM,234566348.34,12087.96,Industri,Buruk,rendah,109027
"Jl. Tandes No. 14, Surabaya",Tandes,4015446.46,SHM,94510246.98,8827.52,Komersial,Baik,rendah,87511
"Jl. Krembangan No. 8, Surabaya",Krembangan,6826919.54,HGB,5077728.02,322.38,Industri,Buruk,rendah,109027
"Jl. Bulak No. 3, Surabaya",Bulak,3026959.72,SHM,100763717.72,13498.18,Komersial,Buruk,rendah,43764
"Jl. Dukuh Pakis No. 4, Surabaya",Dukuh Pakis,10447044.48,SHM,202970153.74,7777.48,Perumahan,Baik,rendah,56707
"Jl. Gayungan No. 5, Surabaya",Gayungan,6155073.32,Lainnya,252922751.02,18882.68,Industri,Buruk,tinggi,41289
"Jl. Karang Pilang No. 7, Surabaya",Karang Pilang,3536488.96,HGB,25165496.54,2961.74,Industri,Baik,rendah,75315
"Jl. Pakal No. 10, Surabaya",Pakal,2525662.78,SHM,51371911.02,8307.48,Industri,Baik,rendah,59971
"Jl. Simokerto No. 12, Surabaya",Simokerto,4638144.54,Lainnya,102304562.7,9023.58,Komersial,Buruk,rendah,86897
"Jl. Tunjungan No. 1, Genteng, Surabaya",Genteng,12390000.0,HGB,280199850.0,9046.0,Komersial,Baik,rendah,52924
"Jl. HR Muhammad No. 80, Sukomanunggal, Surabaya",Sukomanunggal,11250000.0,Lainnya,6975000.0,248.0,Industri,Buruk,rendah,101259
"Jl. Tambaksari No. 5, Tambaksari, Surabaya",Tambaksari,4704000.0,SHM,213749760.0,18176.0,Perumahan,Baik,tinggi,214966
"Jl. Karang Pilang No. 7, Surabaya",Karang Pilang,3402124.04,Lainnya,51046599.9,5463.3,Industri,Buruk,rendah,75315
"Jl. Mulyorejo Indah No. 33, Mulyorejo, Surabaya",Mulyorejo,2851716.88,SHM,3938604.94,534.02,Komersial,Baik,rendah,86545
"Jl. Dukuh Pakis No. 4, Surabaya",Dukuh Pakis,9806415.88,Lainnya,114767601.36,15505.96,Industri,Baik,tinggi,56707
"Jl. Kenjeran No. 45, Kenjeran, Surabaya",Kenjeran,3724000.0,SHM,75764780.0,8138.0,Perumahan,Baik,rendah,181325
"Jl. Raya Lakarsantri No. 10, Surabaya",Lakarsantri,2064000.0,HGB,6501600.0,1260.0,Industri,Baik,rendah,59256
"Jl. HR Muhammad No. 80, Sukomanunggal, Surabaya",Sukomanunggal,11250000.0,HGB,124239250.0,80000.0,Industri,Baik,tinggi,101259
"Jl. Petemon No. 77, Sawahan, Surabaya",Sawahan,2832000.0,SHM,141600000.0,20000.0,Perumahan,Baik,tinggi,188693
"Jl. Raya Gubeng No. 60, Surabaya",Gubeng,11250000.0,HGB,124239250.0,25760.0,Komersial,Baik,tinggi,123961
"Jl. Pakal No. 10, Surabaya",Pakal,2657378.08,SHM,34288776.84,5921.98,Industri,Baik,rendah,59971
"Jl. Jambangan No. 6, Surabaya",Jambangan,5085364.06,HGB,271752406.66,18571.02,Perumahan,Buruk,rendah,50470
"Jl. Raya Sememi No. 15, Benowo, Surabaya",Benowo,2064000.0,SHM,11610000.0,2250.0,Industri,Baik,tinggi,69938
"Jl. Mulyorejo Indah No. 33, Mulyorejo, Surabaya",Mulyorejo,3069958.5,HGB,1777511.36,270.12,Perumahan,Buruk,rendah,86545
"Jl. Tambaksari No. 5, Tambaksari, Surabaya",Tambaksari,4704000.0,Lainnya,19051200.0,1620.0,Perumahan,Baik,tinggi,214966
"Jl. Pabean Cantikan No. 9, Surabaya",Pabean Cantikan,5875494.86,SHM,223360240.12,15150.18,Komersial,Buruk,rendah,75315
"Jl. Kenjeran No. 45, Kenjeran, Surabaya",Kenjeran,3724000.0,Lainnya,65467920.0,7032.0,Perumahan,Baik,tinggi,181325
"Jl. Pakal No. 10, Surabaya",Pakal,2229662.94,Lainnya,87440553.18,14102.3,Industri,Buruk,tinggi,59971
"Jl. Bulak No. 3, Surabaya",Bulak,2974084.54,HGB,59686428.48,7481.14,Industri,Baik,tinggi,43764
"Jl. Pabean Cantikan No. 9, Surabaya",Pabean Cantikan,6273182.76,SHM,233458844.88,15847.36,Komersial,Buruk,rendah,75315
"Jl. Raya Gubeng No. 60, Surabaya",Gubeng,11250000.0,SHM,65643750.0,2334.0,Komersial,Baik,rendah,123961
"Jl. Raya Rungkut No. 88, Rungkut, Surabaya",Rungkut,4704000.0,Lainnya,14112000.0,1200.0,Perumahan,Baik,rendah,123757
"Jl. Semampir No. 11, Surabaya",Semampir,3728220.62,HGB,156045415.46,17668.12,Komersial,Buruk,tinggi,172669
"Jl. Raya Lontar No. 88, Sambikerep, Surabaya",Sambikerep,2064000.0,HGB,5706960.0,1106.0,Perumahan,Baik,rendah,63778
"Jl. Gayungan No. 5, Surabaya",Gayungan,5941110.28,SHM,199171813.52,13060.3,Komersial,Baik,rendah,41289
"Jl. Raya Lontar No. 88, Sambikerep, Surabaya",Sambikerep,2064000.0,SHM,9804000.0,1900.0,Komersial,Buruk,rendah,63778
"Jl. Tunjungan No. 1, Genteng, Surabaya",Genteng,12390000.0,SHM,5079900.0,164.0,Komersial,Buruk,tinggi,52924
"Jl. Mulyorejo Indah No. 33, Mulyorejo, Surabaya",Mulyorejo,2865732.88,HGB,46323584.84,6955.76,Industri,Baik,tinggi,86545
"Jl. Tambaksari No. 5, Tambaksari, Surabaya",Tambaksari,4704000.0,Lainnya,72888480.0,6198.0,Perumahan,Buruk,rendah,214966
"Jl. Tunjungan No. 1, Genteng, Surabaya",Genteng,12390000.0,Lainnya,50613150.0,1634.0,Komersial,Baik,rendah,52924
"Jl. Asemrowo No. 1, Surabaya",Asemrowo,5013397.04,HGB,163141114.1,12447.66,Industri,Baik,tinggi,45547
"Jl. Tunjungan No. 1, Genteng, Surabaya",Genteng,12390000.0,Lainnya,34072500.0,1100.0,Komersial,Baik,tinggi,52924
"Jl. HR Muhammad No. 80, Sukomanunggal, Surabaya",Sukomanunggal,11250000.0,SHM,22893750.0,814.0,Industri,Buruk,rendah,101259
"Jl. Kenjeran No. 45, Kenjeran, Surabaya",Kenjeran,3724000.0,HGB,24168760.0,2596.0,Perumahan,Baik,rendah,181325
"Jl. Raya Sememi No. 15, Benowo, Surabaya",Benowo,2064000.0,Lainnya,3096000.0,600.0,Industri,Baik,tinggi,69938
"Jl. Krembangan No. 8, Surabaya",Krembangan,6743793.88,SHM,306969234.52,17471.12,Industri,Baik,rendah,109027
"Jl. Tunjungan No. 1, Genteng, Surabaya",Genteng,12390000.0,Lainnya,289244550.0,9338.0,Komersial,Baik,rendah,52924
"Jl. Raya Lontar No. 88, Sambikerep, Surabaya",Sambikerep,2064000.0,Lainnya,17719440.0,3434.0,Perumahan,Baik,rendah,63778
"Jl. Semampir No. 11, Surabaya",Semampir,3782653.9,Lainnya,161325754.82,17775.66,Perumahan,Buruk,tinggi,172669
"Jl. Asemrowo No. 1, Surabaya",Asemrowo,4727504.76,Lainnya,140702675.56,10609.64,Industri,Buruk,rendah,45547
"Jl. Tenggilis Mejoyo No. 15, Surabaya",Tenggilis Mejoyo,6757653.44,SHM,70815214.74,5202.0,Perumahan,Baik,tinggi,61187
"Jl. Kenjeran No. 45, Kenjeran, Surabaya",Kenjeran,3724000.0,HGB,2793000.0,300.0,Perumahan,Baik,rendah,181325
"Jl. Raya Lontar No. 88, Sambikerep, Surabaya",Sambikerep,2064000.0,SHM,8462400.0,1640.0,Komersial,Buruk,rendah,63778
"Jl. Bulak No. 3, Surabaya",Bulak,3246218.2,Lainnya,65834926.3,9441.32,Perumahan,Buruk,tinggi,43764
"Jl. Bulak No. 3, Surabaya",Bulak,2975483.34,SHM,92974311.28,10756.02,Perumahan,Buruk,tinggi,43764
"Jl. Asemrowo No. 1, Surabaya",Asemrowo,5033907.68,Lainnya,21406429.96,1679.58,Industri,Baik,tinggi,45547
"Jl. Jambangan No. 6, Surabaya",Jambangan,4975479.96,SHM,182305598.54,13398.42,Perumahan,Buruk,rendah,50470
"Jl. Tenggilis Mejoyo No. 15, Surabaya",Tenggilis Mejoyo,6489557.5,HGB,278383812.92,16242.18,Industri,Buruk,tinggi,61187
"Jl. Tenggilis Mejoyo No. 15, Surabaya",Tenggilis Mejoyo,6607104.98,SHM,50311512.22,3056.16,Komersial,Baik,rendah,61187
"Jl. Pabean Cantikan No. 9, Surabaya",Pabean Cantikan,5783126.38,SHM,189214039.26,12075.5,Perumahan,Buruk,tinggi,75315
"Jl. Gunung Anyar Jaya No. 12, Gunung Anyar, Surabaya",Gunung Anyar,3724000.0,HGB,78222620.0,8402.0,Komersial,Baik,rendah,62482
"Jl. Raya Rungkut No. 88, Rungkut, Surabaya",Rungkut,4704000.0,Lainnya,141120000.0,12000.0,Perumahan,Buruk,rendah,123757
"Jl. Mulyorejo Indah No. 33, Mulyorejo, Surabaya",Mulyorejo,2896122.32,HGB,22219141.14,3506.7,Perumahan,Baik,tinggi,86545
"Jl. Pakal No. 10, Surabaya",Pakal,2300125.88,SHM,85377862.52,11804.68,Industri,Baik,tinggi,59971
"Jl. Tunjungan No. 1, Genteng, Surabaya",Genteng,12390000.0,SHM,69693750.0,2250.0,Komersial,Baik,tinggi,52924
"Jl. HR Muhammad No. 80, Sukomanunggal, Surabaya",Sukomanunggal,11250000.0,Lainnya,225000000.0,8000.0,Industri,Baik,tinggi,101259
"Jl. Wiyung Kencana No. 21, Wiyung, Surabaya",Wiyung,2832000.0,HGB,127440000.0,18000.0,Komersial,Buruk,tinggi,71605
"Jl. Raya Sememi No. 15, Benowo, Surabaya",Benowo,2064000.0,SHM,100289760.0,19436.0,Industri,Buruk,rendah,69938
"Jl. Tandes No. 14, Surabaya",Tandes,4148721.72,HGB,201570849.1,18552.58,Perumahan,Buruk,tinggi,87511
"Jl. Bubutan No. 2, Surabaya",Bubutan,7909358.14,HGB,134720989.12,6614.64,Perumahan,Buruk,rendah,90646
"Jl. Semampir No. 11, Surabaya",Semampir,3556515.84,HGB,17144155.64,1834.46,Industri,Buruk,rendah,172669
"Jl. Karang Pilang No. 7, Surabaya",Karang Pilang,3300598.22,SHM,88026813.48,9248.32,Industri,Buruk,rendah,75315
"Jl. Bulak No. 3, Surabaya",Bulak,2960079.38,HGB,59010118.74,7412.32,Industri,Baik,tinggi,43764
"Jl. Pabean Cantikan No. 9, Surabaya",Pabean Cantikan,6317983.42,Lainnya,152685279.36,10104.14,Industri,Baik,rendah,75315
"Jl. Gayungan No. 5, Surabaya",Gayungan,6359825.02,HGB,136278154.62,10421.06,Komersial,Buruk,tinggi,41289
"Jl. Karang Pilang No. 7, Surabaya",Karang Pilang,3478816.72,HGB,23969725.38,3090.68,Industri,Baik,rendah,75315
"Jl. Kedungdoro No. 1, Surabaya",Tegalsari,13610000.0,SHM,124239250.0,80000.0,Komersial,Baik,tinggi,92014
"Jl. Raya Gubeng No. 60, Surabaya",Gubeng,11250000.0,SHM,124239250.0,12000.0,Komersial,Baik,rendah,123961
"Jl. Karang Pilang No. 7, Surabaya",Karang Pilang,3529871.82,Lainnya,92396570.78,10343.5,Industri,Buruk,rendah,75315
"Jl. Jambangan No. 6, Surabaya",Jambangan,5200982.2,HGB,54507686.18,4259.86,Komersial,Baik,rendah,50470
"Jl. Tandes No. 14, Surabaya",Tandes,3889375.3,HGB,172168386.58,17944.88,Perumahan,Buruk,tinggi,87511
"Jl. Karang Pilang No. 7, Surabaya",Karang Pilang,3732076.56,HGB,184400485.82,20141.78,Industri,Baik,tinggi,75315
"Jl. Asemrowo No. 1, Surabaya",Asemrowo,5187667.56,HGB,1457049.66,113.04,Industri,Buruk,tinggi,45547
"Jl. Tenggilis Mejoyo No. 15, Surabaya",Tenggilis Mejoyo,6365259.32,SHM,257222349.24,16481.08,Komersial,Buruk,tinggi,61187
"Jl. Raya Lontar No. 88, Sambikerep, Surabaya",Sambikerep,2064000.0,HGB,86770560.0,16816.0,Komersial,Buruk,tinggi,63778
"Jl. Kenjeran No. 45, Kenjeran, Surabaya",Kenjeran,3724000.0,SHM,140729960.0,15116.0,Perumahan,Baik,rendah,181325
"Jl. Krembangan No. 8, Surabaya",Krembangan,7453148.36,HGB,173423798.08,10195.18,Industri,Baik,tinggi,109027
"Jl. Wiyung Kencana No. 21, Wiyung, Surabaya",Wiyung,2832000.0,SHM,22415280.0,3166.0,Perumahan,Buruk,tinggi,71605
"Jl. Pakal No. 10, Surabaya",Pakal,2395278.2,SHM,32501723.42,5520.52,Industri,Baik,rendah,59971
"Jl. Raya Lontar No. 88, Sambikerep, Surabaya",Sambikerep,2064000.0,SHM,8101200.0,1570.0,Komersial,Baik,tinggi,63778
"Jl. Gunung Anyar Jaya No. 12, Gunung Anyar, Surabaya",Gunung Anyar,3724000.0,HGB,34353900.0,3690.0,Komersial,Buruk,rendah,62482
"Jl. Raya Rungkut No. 88, Rungkut, Surabaya",Rungkut,4704000.0,SHM,3528000.0,300.0,Perumahan,Buruk,tinggi,123757
"Jl. Simokerto No. 12, Surabaya",Simokerto,4854760.76,HGB,254057549.46,19464.86,Komersial,Buruk,tinggi,86897
"Jl. Raya Rungkut No. 88, Rungkut, Surabaya",Rungkut,4704000.0,SHM,46334400.0,3940.0,Perumahan,Baik,tinggi,123757
"Jl. Wiyung Kencana No. 21, Wiyung, Surabaya",Wiyung,2832000.0,HGB,159540720.0,22534.0,Industri,Buruk,tinggi,71605
"Jl. Pabean Cantikan No. 9, Surabaya",Pabean Cantikan,6122649.18,SHM,213312344.46,14656.34,Perumahan,Baik,rendah,75315
"Jl. Pakal No. 10, Surabaya",Pakal,2234551.86,SHM,109735333.86,18954.84,Industri,Buruk,tinggi,59971
"Jl. Raya Sememi No. 15, Benowo, Surabaya",Benowo,2064000.0,SHM,51600000.0,10000.0,Industri,Buruk,tinggi,69938
"Jl. Tandes No. 14, Surabaya",Tandes,4230545.04,HGB,5765372.96,504.46,Komersial,Baik,tinggi,87511
"Jl. HR Muhammad No. 80, Sukomanunggal, Surabaya",Sukomanunggal,11250000.0,Lainnya,10181250.0,362.0,Industri,Baik,rendah,101259
"Jl. Pakal No. 10, Surabaya",Pakal,2435811.74,HGB,112334094.44,16981.28,Industri,Baik,tinggi,59971
"Jl. Semampir No. 11, Surabaya",Semampir,3614616.16,HGB,15510639.32,1750.56,Industri,Buruk,rendah,172669
"Jl. Raya Gubeng No. 60, Surabaya",Gubeng,11250000.0,SHM,18281250.0,650.0,Komersial,Buruk,rendah,123961
"Jl. Raya Rungkut No. 88, Rungkut, Surabaya",Rungkut,4704000.0,HGB,141120000.0,12000.0,Perumahan,Buruk,tinggi,123757
"Jl. Raya Gubeng No. 60, Surabaya",Gubeng,11250000.0,Lainnya,80381250.0,2858.0,Komersial,Buruk,rendah,123961
"Jl. Mulyorejo Indah No. 33, Mulyorejo, Surabaya",Mulyorejo,2715162.24,HGB,18666957.22,2700.14,Perumahan,Baik,tinggi,86545
"Jl. Tunjungan No. 1, Genteng, Surabaya",Genteng,12390000.0,HGB,13133400.0,424.0,Komersial,Buruk,tinggi,52924
"Jl. Wonokromo No. 22, Wonokromo, Surabaya",Wonokromo,11250000.0,HGB,101250000.0,3600.0,Komersial,Buruk,rendah,144650
"Jl. Tambaksari No. 5, Tambaksari, Surabaya",Tambaksari,4704000.0,SHM,6656160.0,566.0,Perumahan,Baik,rendah,214966
"Jl. Simokerto No. 12, Surabaya",Simokerto,4413314.32,Lainnya,213774127.96,17120.12,Komersial,Buruk,rendah,86897
"Jl. Kedungdoro No. 1, Surabaya",Tegalsari,13610000.0,Lainnya,19258150.0,566.0,Komersial,Baik,tinggi,92014
"Jl. Wonocolo No. 16, Surabaya",Wonocolo,5873212.02,Lainnya,219486109.6,15729.54,Perumahan,Baik,tinggi,75315
"Jl. Krembangan No. 8, Surabaya",Krembangan,6976040.34,HGB,5919074.32,346.08,Industri,Buruk,rendah,109027
"Jl. Pabean Cantikan No. 9, Surabaya",Pabean Cantikan,5859543.64,Lainnya,42605381.66,2835.68,Industri,Buruk,rendah,75315
"Jl. Wonokromo No. 22, Wonokromo, Surabaya",Wonokromo,11250000.0,HGB,101531250.0,3610.0,Komersial,Baik,tinggi,144650
"Jl. Raya Lakarsantri No. 10, Surabaya",Lakarsantri,2064000.0,HGB,8256000.0,1600.0,Industri,Buruk,rendah,59256
"Jl. Wonocolo No. 16, Surabaya",Wonocolo,5570473.7,Lainnya,223326070.66,16652.1,Perumahan,Baik,tinggi,75315
"Jl. Krembangan No. 8, Surabaya",Krembangan,6806145.26,HGB,246178718.26,16041.96,Industri,Baik,tinggi,109027
"Jl. Pakal No. 10, Surabaya",Pakal,2363137.78,SHM,108589628.18,19563.28,Industri,Buruk,tinggi,59971
"Jl. Wiyung Kencana No. 21, Wiyung, Surabaya",Wiyung,2832000.0,Lainnya,8920800.0,1260.0,Komersial,Baik,rendah,71605
"Jl. Pakal No. 10, Surabaya",Pakal,2480225.94,Lainnya,119886056.94,17844.78,Industri,Buruk,rendah,59971
"Jl. Tandes No. 14, Surabaya",Tandes,4187464.3,HGB,14049575.9,1279.8,Komersial,Buruk,rendah,87511
"Jl. Raya Rungkut No. 88, Rungkut, Surabaya",Rungkut,4704000.0,HGB,80203200.0,6820.0,Perumahan,Baik,rendah,123757
"Jl. Wiyung Kencana No. 21, Wiyung, Surabaya",Wiyung,2832000.0,HGB,28320000.0,4000.0,Perumahan,Buruk,rendah,71605
"Jl. Kedungdoro No. 1, Surabaya",Tegalsari,13610000.0,Lainnya,55120500.0,1620.0,Komersial,Baik,tinggi,92014
"Jl. Raya Sememi No. 15, Benowo, Surabaya",Benowo,2064000.0,SHM,18576000.0,3600.0,Industri,Baik,rendah,69938
"Jl. Wiyung Kencana No. 21, Wiyung, Surabaya",Wiyung,2832000.0,Lainnya,17969040.0,2538.0,Perumahan,Buruk,rendah,71605
"Jl. Kedungdoro No. 1, Surabaya",Tegalsari,13610000.0,Lainnya,124239250.0,19394.0,Komersial,Buruk,tinggi,92014
"Jl. Wonokromo No. 22, Wonokromo, Surabaya",Wonokromo,11250000.0,Lainnya,103500000.0,3680.0,Komersial,Baik,tinggi,144650
"Jl. HR Muhammad No. 80, Sukomanunggal, Surabaya",Sukomanunggal,11250000.0,HGB,222581250.0,7914.0,Industri,Buruk,tinggi,101259
"Jl. Gayungan No. 5, Surabaya",Gayungan,5727954.2,SHM,83392373.72,5628.8,Komersial,Buruk,rendah,41289
"Jl. Kenjeran No. 45, Kenjeran, Surabaya",Kenjeran,3724000.0,SHM,8527960.0,916.0,Perumahan,Baik,tinggi,181325
"Jl. Tunjungan No. 1, Genteng, Surabaya",Genteng,12390000.0,SHM,124239250.0,15900.0,Komersial,Buruk,rendah,52924
"Jl. Tenggilis Mejoyo No. 15, Surabaya",Tenggilis Mejoyo,6277494.86,Lainnya,107821686.7,6919.84,Komersial,Baik,tinggi,61187
"Jl. Wonokromo No. 22, Wonokromo, Surabaya",Wonokromo,11250000.0,Lainnya,124239250.0,26000.0,Komersial,Baik,rendah,144650
"Jl. Gunung Anyar Jaya No. 12, Gunung Anyar, Surabaya",Gunung Anyar,3724000.0,SHM,20947500.0,2250.0,Perumahan,Baik,rendah,62482
"Jl. Wiyung Kencana No. 21, Wiyung, Surabaya",Wiyung,2832000.0,Lainnya,140608800.0,19860.0,Komersial,Baik,rendah,71605
"Jl. Wonokromo No. 22, Wonokromo, Surabaya",Wonokromo,11250000.0,SHM,95625000.0,3400.0,Komersial,Baik,tinggi,144650
"Jl. HR Muhammad No. 80, Sukomanunggal, Surabaya",Sukomanunggal,11250000.0,Lainnya,189168750.0,6726.0,Industri,Buruk,tinggi,101259
"Jl. Bulak No. 3, Surabaya",Bulak,3091332.14,SHM,98900578.26,14921.18,Komersial,Buruk,rendah,43764
"Jl. Mulyorejo Indah No. 33, Mulyorejo, Surabaya",Mulyorejo,2735976.9,HGB,1949342.66,260.56,Perumahan,Buruk,rendah,86545
"Jl. Krembangan No. 8, Surabaya",Krembangan,7109944.32,SHM,135937847.0,8096.82,Industri,Baik,tinggi,109027
"Jl. Bubutan No. 2, Surabaya",Bubutan,7866680.98,SHM,183365348.28,9150.82,Industri,Buruk,rendah,90646
"Jl. Jambangan No. 6, Surabaya",Jambangan,5435346.56,SHM,192632476.4,16624.06,Komersial,Buruk,rendah,50470
"Jl. Asemrowo No. 1, Surabaya",Asemrowo,4865920.74,HGB,191255716.42,15100.56,Industri,Baik,rendah,45547
"Jl. Wiyung Kencana No. 21, Wiyung, Surabaya",Wiyung,2832000.0,Lainnya,15930000.0,2250.0,Komersial,Baik,rendah,71605
"Jl. Tenggilis Mejoyo No. 15, Surabaya",Tenggilis Mejoyo,5768640.94,HGB,209001829.52,12861.54,Perumahan,Baik,rendah,61187
"Jl. Asemrowo No. 1, Surabaya",Asemrowo,5210922.22,HGB,159744049.06,13372.5,Industri,Baik,tinggi,45547
"Jl. Kenjeran No. 45, Kenjeran, Surabaya",Kenjeran,3724000.0,Lainnya,61892880.0,6648.0,Perumahan,Baik,rendah,181325
"Jl. Mulyorejo Indah No. 33, Mulyorejo, Surabaya",Mulyorejo,2728561.32,HGB,6248462.48,913.98,Perumahan,Buruk,rendah,86545
"Jl. Raya Gubeng No. 60, Surabaya",Gubeng,11250000.0,Lainnya,6187500.0,220.0,Komersial,Baik,tinggi,123961
"Jl. Wiyung Kencana No. 21, Wiyung, Surabaya",Wiyung,2832000.0,Lainnya,11809440.0,1668.0,Industri,Baik,rendah,71605
"Jl. Semampir No. 11, Surabaya",Semampir,3550949.6,Lainnya,163255078.24,17347.44,Perumahan,Buruk,tinggi,172669
"Jl. Kedungdoro No. 1, Surabaya",Tegalsari,13610000.0,SHM,30622500.0,900.0,Komersial,Buruk,rendah,92014
"Jl. Wonokromo No. 22, Wonokromo, Surabaya",Wonokromo,11250000.0,SHM,112500000.0,4000.0,Komersial,Baik,rendah,144650
"Jl. Petemon No. 77, Sawahan, Surabaya",Sawahan,2832000.0,HGB,42395040.0,5988.0,Perumahan,Baik,rendah,188693
"Jl. Raya Sememi No. 15, Benowo, Surabaya",Benowo,2064000.0,Lainnya,94056480.0,18228.0,Industri,Buruk,rendah,69938
"Jl. Tambaksari No. 5, Tambaksari, Surabaya",Tambaksari,4704000.0,Lainnya,15099840.0,1284.0,Perumahan,Baik,rendah,214966
"Jl. Raya Sememi No. 15, Benowo, Surabaya",Benowo,2064000.0,SHM,36646320.0,7102.0,Industri,Buruk,tinggi,69938
"Jl. Petemon No. 77, Sawahan, Surabaya",Sawahan,2832000.0,HGB,50763600.0,7170.0,Perumahan,Buruk,tinggi,188693
"Jl. Tandes No. 14, Surabaya",Tandes,3826394.38,Lainnya,160791208.06,15921.98,Komersial,Baik,tinggi,87511
"Jl. Tandes No. 14, Surabaya",Tandes,4107706.28,HGB,93467826.66,9828.3,Industri,Baik,rendah,87511
"Jl. Gayungan No. 5, Surabaya",Gayungan,6302005.18,Lainnya,104783621.56,6654.3,Komersial,Buruk,rendah,41289
"Jl. Jambangan No. 6, Surabaya",Jambangan,4622651.88,SHM,119443063.6,9340.82,Perumahan,Baik,tinggi,50470
"Jl. HR Muhammad No. 80, Sukomanunggal, Surabaya",Sukomanunggal,11250000.0,SHM,25312500.0,900.0,Industri,Buruk,tinggi,101259
"Jl. Raya Gubeng No. 60, Surabaya",Gubeng,11250000.0,Lainnya,48993750.0,1742.0,Komersial,Baik,rendah,123961
