Alamat,Kecamatan,Njop (Rp/M²),Sertifikat,Sewa Per Bulan (Rp),Luas Tanah (M²),Jenis Zona,Aksesibilitas,Tingkat Keamanan,Kepadatan_Penduduk
"Jl. Pakal No. 10, Surabaya",Pakal,1203591.59,Lainnya,12826994.68,2220.87,Industri,Baik,tinggi,59971
"Jl. Dukuh Pakis No. 4, Surabaya",Dukuh Pakis,4748508.31,SHM,16548909.39,655.02,Perumahan,Baik,rendah,56707
"Jl. Asemrowo No. 1, Surabaya",Asemrowo,2614398.3,HGB,89396737.17,7237.96,Industri,Buruk,rendah,45547
"Jl. Sukolilo No. 13, Surabaya",Sukolilo,3845966.36,HGB,74026700.05,3944.14,Perumahan,Baik,tinggi,110557
"Jl. Kenjeran No. 45, Kenjeran, Surabaya",Kenjeran,1862000.0,SHM,10473750.0,1125.0,Perumahan,Baik,rendah,181325
"Jl. Pakal No. 10, Surabaya",Pakal,1150797.83,HGB,4235096.37,712.51,Industri,Baik,tinggi,59971
"Jl. Petemon No. 77, Sawahan, Surabaya",Sawahan,1416000.0,SHM,20029320.0,2829.0,Perumahan,Baik,tinggi,188693
"Jl. Raya Lontar No. 88, Sambikerep, Surabaya",Sambikerep,1032000.0,HGB,10892760.0,2111.0,Industri,Buruk,rendah,63778
"Jl. Asemrowo No. 1, Surabaya",Asemrowo,2424063.3,HGB,762931.07,62.98,Industri,Buruk,tinggi,45547
"Jl. Dukuh Pakis No. 4, Surabaya",Dukuh Pakis,4579867.97,SHM,61812497.05,8733.73,Industri,Buruk,rendah,56707
"Jl. Semampir No. 11, Surabaya",Semampir,1707397.84,Lainnya,85196380.85,8558.63,Perumahan,Baik,tinggi,172669
"Jl. Karang Pilang No. 7, Surabaya",Karang Pilang,1828272.01,HGB,34209954.53,4281.14,Industri,Buruk,tinggi,75315
"Jl. Raya Gubeng No. 60, Surabaya",Gubeng,5625000.0,SHM,23456250.0,834.0,Komersial,Buruk,rendah,123961
"Jl. Raya Rungkut No. 88, Rungkut, Surabaya",Rungkut,2352000.0,Lainnya,940800.0,80.0,Perumahan,Buruk,rendah,123757
"Jl. Semampir No. 11, Surabaya",Semampir,1874982.7,SHM,34500211.37,3939.17,Perumahan,Baik,rendah,172669
"Jl. Raya Lakarsantri No. 10, Surabaya",Lakarsantri,1032000.0,SHM,5160000.0,1000.0,Perumahan,Baik,tinggi,59256
"Jl. Bubutan No. 2, Surabaya",Bubutan,4190090.05,HGB,59408653.85,2988.91,Perumahan,Buruk,rendah,90646
"Jl. Petemon No. 77, Sawahan, Surabaya",Sawahan,1416000.0,HGB,3518760.0,497.0,Perumahan,Buruk,tinggi,188693
"Jl. HR Muhammad No. 80, Sukomanunggal, Surabaya",Sukomanunggal,5625000.0,Lainnya,51750000.0,1840.0,Industri,Buruk,tinggi,101259
"Jl. Sukolilo No. 13, Surabaya",Sukolilo,3802903.37,Lainnya,33172895.76,1559.37,Perumahan,Buruk,tinggi,110557
"Jl. Kenjeran No. 45, Kenjeran, Surabaya",Kenjeran,1862000.0,SHM,5586000.0,600.0,Perumahan,Baik,tinggi,181325
"Jl. Raya Rungkut No. 88, Rungkut, Surabaya",Rungkut,2352000.0,SHM,6468000.0,550.0,Perumahan,Baik,rendah,123757
"Jl. Dukuh Pakis No. 4, Surabaya",Dukuh Pakis,5257500.14,SHM,16033026.4,649.94,Perumahan,Baik,rendah,56707
"Jl. Semampir No. 11, Surabaya",Semampir,1838609.3,Lainnya,83972872.51,8686.53,Perumahan,Buruk,tinggi,172669
"Jl. Pakal No. 10, Surabaya",Pakal,1198153.32,SHM,41389119.66,6741.91,Industri,Baik,tinggi,59971
"Jl. Raya Sememi No. 15, Benowo, Surabaya",Benowo,1032000.0,SHM,62119625.0,40000.0,Industri,Baik,tinggi,69938
"Jl. Pakal No. 10, Surabaya",Pakal,1183202.49,HGB,51509979.79,8283.95,Industri,Baik,tinggi,59971
"Jl. Tambaksari No. 5, Tambaksari, Surabaya",Tambaksari,2352000.0,SHM,23520000.0,2000.0,Perumahan,Baik,tinggi,214966
"Jl. Raya Lakarsantri No. 10, Surabaya",Lakarsantri,1032000.0,SHM,4128000.0,800.0,Industri,Baik,tinggi,59256
"Jl. Krembangan No. 8, Surabaya",Krembangan,3440971.92,HGB,35740651.92,2054.06,Industri,Baik,rendah,109027
"Jl. Krembangan No. 8, Surabaya",Krembangan,3626262.57,SHM,117283174.17,6043.98,Industri,Buruk,rendah,109027
"Jl. Tandes No. 14, Surabaya",Tandes,2007723.23,SHM,47255123.49,4413.76,Komersial,Baik,rendah,87511
"Jl. Krembangan No. 8, Surabaya",Krembangan,3413459.77,HGB,2538864.01,161.19,Industri,Buruk,rendah,109027
"Jl. Bulak No. 3, Surabaya",Bulak,1513479.86,SHM,50381858.86,6749.09,Komersial,Buruk,rendah,43764
"Jl. Dukuh Pakis No. 4, Surabaya",Dukuh Pakis,5223522.24,SHM,101485076.87,3888.74,Perumahan,Baik,rendah,56707
"Jl. Gayungan No. 5, Surabaya",Gayungan,3077536.66,Lainnya,126461375.51,9441.34,Industri,Buruk,tinggi,41289
"Jl. Karang Pilang No. 7, Surabaya",Karang Pilang,1768244.48,HGB,12582748.27,1480.87,Industri,Baik,rendah,75315
"Jl. Pakal No. 10, Surabaya",Pakal,1262831.39,SHM,25685955.51,4153.74,Industri,Baik,rendah,59971
"Jl. Simokerto No. 12, Surabaya",Simokerto,2319072.27,Lainnya,51152281.35,4511.79,Komersial,Buruk,rendah,86897
"Jl. Tunjungan No. 1, Genteng, Surabaya",Genteng,6195000.0,HGB,140099925.0,4523.0,Komersial,Baik,rendah,52924
"Jl. HR Muhammad No. 80, Sukomanunggal, Surabaya",Sukomanunggal,5625000.0,Lainnya,3487500.0,124.0,Industri,Buruk,rendah,101259
"Jl. Tambaksari No. 5, Tambaksari, Surabaya",Tambaksari,2352000.0,SHM,106874880.0,9088.0,Perumahan,Baik,tinggi,214966
"Jl. Karang Pilang No. 7, Surabaya",Karang Pilang,1701062.02,Lainnya,25523299.95,2731.65,Industri,Buruk,rendah,75315
"Jl. Mulyorejo Indah No. 33, Mulyorejo, Surabaya",Mulyorejo,1425858.44,SHM,1969302.47,267.01,Komersial,Baik,rendah,86545
"Jl. Dukuh Pakis No. 4, Surabaya",Dukuh Pakis,4903207.94,Lainnya,57383800.68,7752.98,Industri,Baik,tinggi,56707
"Jl. Kenjeran No. 45, Kenjeran, Surabaya",Kenjeran,1862000.0,SHM,37882390.0,4069.0,Perumahan,Baik,rendah,181325
"Jl. Raya Lakarsantri No. 10, Surabaya",Lakarsantri,1032000.0,HGB,3250800.0,630.0,Industri,Baik,rendah,59256
"Jl. HR Muhammad No. 80, Sukomanunggal, Surabaya",Sukomanunggal,5625000.0,HGB,62119625.0,40000.0,Industri,Baik,tinggi,101259
"Jl. Petemon No. 77, Sawahan, Surabaya",Sawahan,1416000.0,SHM,70800000.0,10000.0,Perumahan,Baik,tinggi,188693
"Jl. Raya Gubeng No. 60, Surabaya",Gubeng,5625000.0,HGB,62119625.0,12880.0,Komersial,Baik,tinggi,123961
"Jl. Pakal No. 10, Surabaya",Pakal,1328689.04,SHM,17144388.42,2960.99,Industri,Baik,rendah,59971
"Jl. Jambangan No. 6, Surabaya",Jambangan,2542682.03,HGB,135876203.33,9285.51,Perumahan,Buruk,rendah,50470
"Jl. Raya Sememi No. 15, Benowo, Surabaya",Benowo,1032000.0,SHM,5805000.0,1125.0,Industri,Baik,tinggi,69938
"Jl. Mulyorejo Indah No. 33, Mulyorejo, Surabaya",Mulyorejo,1534979.25,HGB,888755.68,135.06,Perumahan,Buruk,rendah,86545
"Jl. Tambaksari No. 5, Tambaksari, Surabaya",Tambaksari,2352000.0,Lainnya,9525600.0,810.0,Perumahan,Baik,tinggi,214966
"Jl. Pabean Cantikan No. 9, Surabaya",Pabean Cantikan,2937747.43,SHM,111680120.06,7575.09,Komersial,Buruk,rendah,75315
"Jl. Kenjeran No. 45, Kenjeran, Surabaya",Kenjeran,1862000.0,Lainnya,32733960.0,3516.0,Perumahan,Baik,tinggi,181325
"Jl. Pakal No. 10, Surabaya",Pakal,1114831.47,Lainnya,43720276.59,7051.15,Industri,Buruk,tinggi,59971
"Jl. Bulak No. 3, Surabaya",Bulak,1487042.27,HGB,29843214.24,3740.57,Industri,Baik,tinggi,43764
"Jl. Pabean Cantikan No. 9, Surabaya",Pabean Cantikan,3136591.38,SHM,116729422.44,7923.68,Komersial,Buruk,rendah,75315
"Jl. Raya Gubeng No. 60, Surabaya",Gubeng,5625000.0,SHM,32821875.0,1167.0,Komersial,Baik,rendah,123961
"Jl. Raya Rungkut No. 88, Rungkut, Surabaya",Rungkut,2352000.0,Lainnya,7056000.0,600.0,Perumahan,Baik,rendah,123757
"Jl. Semampir No. 11, Surabaya",Semampir,1864110.31,HGB,78022707.73,8834.06,Komersial,Buruk,tinggi,172669
"Jl. Raya Lontar No. 88, Sambikerep, Surabaya",Sambikerep,1032000.0,HGB,2853480.0,553.0,Perumahan,Baik,rendah,63778
"Jl. Gayungan No. 5, Surabaya",Gayungan,2970555.14,SHM,99585906.76,6530.15,Komersial,Baik,rendah,41289
"Jl. Raya Lontar No. 88, Sambikerep, Surabaya",Sambikerep,1032000.0,SHM,4902000.0,950.0,Komersial,Buruk,rendah,63778
"Jl. Tunjungan No. 1, Genteng, Surabaya",Genteng,6195000.0,SHM,2539950.0,82.0,Komersial,Buruk,tinggi,52924
"Jl. Mulyorejo Indah No. 33, Mulyorejo, Surabaya",Mulyorejo,1432866.44,HGB,23161792.42,3477.88,Industri,Baik,tinggi,86545
"Jl. Tambaksari No. 5, Tambaksari, Surabaya",Tambaksari,2352000.0,Lainnya,36444240.0,3099.0,Perumahan,Buruk,rendah,214966
"Jl. Tunjungan No. 1, Genteng, Surabaya",Genteng,6195000.0,Lainnya,25306575.0,817.0,Komersial,Baik,rendah,52924
"Jl. Asemrowo No. 1, Surabaya",Asemrowo,2506698.52,HGB,81570557.05,6223.83,Industri,Baik,tinggi,45547
"Jl. Tunjungan No. 1, Genteng, Surabaya",Genteng,6195000.0,Lainnya,17036250.0,550.0,Komersial,Baik,tinggi,52924
"Jl. HR Muhammad No. 80, Sukomanunggal, Surabaya",Sukomanunggal,5625000.0,SHM,11446875.0,407.0,Industri,Buruk,rendah,101259
"Jl. Kenjeran No. 45, Kenjeran, Surabaya",Kenjeran,1862000.0,HGB,12084380.0,1298.0,Perumahan,Baik,rendah,181325
"Jl. Raya Sememi No. 15, Benowo, Surabaya",Benowo,1032000.0,Lainnya,1548000.0,300.0,Industri,Baik,tinggi,69938
"Jl. Krembangan No. 8, Surabaya",Krembangan,3371896.94,SHM,153484617.26,8735.56,Industri,Baik,rendah,109027
"Jl. Tunjungan No. 1, Genteng, Surabaya",Genteng,6195000.0,Lainnya,144622275.0,4669.0,Komersial,Baik,rendah,52924
"Jl. Raya Lontar No. 88, Sambikerep, Surabaya",Sambikerep,1032000.0,Lainnya,8859720.0,1717.0,Perumahan,Baik,rendah,63778
"Jl. Semampir No. 11, Surabaya",Semampir,1891326.95,Lainnya,80662877.41,8887.83,Perumahan,Buruk,tinggi,172669
"Jl. Asemrowo No. 1, Surabaya",Asemrowo,2363752.38,Lainnya,70351337.78,5304.82,Industri,Buruk,rendah,45547
"Jl. Tenggilis Mejoyo No. 15, Surabaya",Tenggilis Mejoyo,3378826.72,SHM,35407607.37,2601.0,Perumahan,Baik,tinggi,61187
"Jl. Kenjeran No. 45, Kenjeran, Surabaya",Kenjeran,1862000.0,HGB,1396500.0,150.0,Perumahan,Baik,rendah,181325
"Jl. Raya Lontar No. 88, Sambikerep, Surabaya",Sambikerep,1032000.0,SHM,4231200.0,820.0,Komersial,Buruk,rendah,63778
"Jl. Bulak No. 3, Surabaya",Bulak,1623109.1,Lainnya,32917463.15,4720.66,Perumahan,Buruk,tinggi,43764
"Jl. Bulak No. 3, Surabaya",Bulak,1487741.67,SHM,46487155.64,5378.01,Perumahan,Buruk,tinggi,43764
"Jl. Asemrowo No. 1, Surabaya",Asemrowo,2516953.84,Lainnya,10703214.98,839.79,Industri,Baik,tinggi,45547
"Jl. Jambangan No. 6, Surabaya",Jambangan,2487739.98,SHM,91152799.27,6699.21,Perumahan,Buruk,rendah,50470
"Jl. Tenggilis Mejoyo No. 15, Surabaya",Tenggilis Mejoyo,3244778.75,HGB,139191906.46,8121.09,Industri,Buruk,tinggi,61187
"Jl. Tenggilis Mejoyo No. 15, Surabaya",Tenggilis Mejoyo,3303552.49,SHM,25155756.11,1528.08,Komersial,Baik,rendah,61187
"Jl. Pabean Cantikan No. 9, Surabaya",Pabean Cantikan,2891563.19,SHM,94607019.63,6037.75,Perumahan,Buruk,tinggi,75315
"Jl. Gunung Anyar Jaya No. 12, Gunung Anyar, Surabaya",Gunung Anyar,1862000.0,HGB,39111310.0,4201.0,Komersial,Baik,rendah,62482
"Jl. Raya Rungkut No. 88, Rungkut, Surabaya",Rungkut,2352000.0,Lainnya,70560000.0,6000.0,Perumahan,Buruk,rendah,123757
"Jl. Mulyorejo Indah No. 33, Mulyorejo, Surabaya",Mulyorejo,1448061.16,HGB,11109570.57,1753.35,Perumahan,Baik,tinggi,86545
"Jl. Pakal No. 10, Surabaya",Pakal,1150062.94,SHM,42688931.26,5902.34,Industri,Baik,tinggi,59971
"Jl. Tunjungan No. 1, Genteng, Surabaya",Genteng,6195000.0,SHM,34846875.0,1125.0,Komersial,Baik,tinggi,52924
"Jl. HR Muhammad No. 80, Sukomanunggal, Surabaya",Sukomanunggal,5625000.0,Lainnya,112500000.0,4000.0,Industri,Baik,tinggi,101259
"Jl. Wiyung Kencana No. 21, Wiyung, Surabaya",Wiyung,1416000.0,HGB,63720000.0,9000.0,Komersial,Buruk,tinggi,71605
"Jl. Raya Sememi No. 15, Benowo, Surabaya",Benowo,1032000.0,SHM,50144880.0,9718.0,Industri,Buruk,rendah,69938
"Jl. Tandes No. 14, Surabaya",Tandes,2074360.86,HGB,100785424.55,9276.29,Perumahan,Buruk,tinggi,87511
"Jl. Bubutan No. 2, Surabaya",Bubutan,3954679.07,HGB,67360494.56,3307.32,Perumahan,Buruk,rendah,90646
"Jl. Semampir No. 11, Surabaya",Semampir,1778257.92,HGB,8572077.82,917.23,Industri,Buruk,rendah,172669
"Jl. Karang Pilang No. 7, Surabaya",Karang Pilang,1650299.11,SHM,44013406.74,4624.16,Industri,Buruk,rendah,75315
"Jl. Bulak No. 3, Surabaya",Bulak,1480039.69,HGB,29505059.37,3706.16,Industri,Baik,tinggi,43764
"Jl. Pabean Cantikan No. 9, Surabaya",Pabean Cantikan,3158991.71,Lainnya,76342639.68,5052.07,Industri,Baik,rendah,75315
"Jl. Gayungan No. 5, Surabaya",Gayungan,3179912.51,HGB,68139077.31,5210.53,Komersial,Buruk,tinggi,41289
"Jl. Karang Pilang No. 7, Surabaya",Karang Pilang,1739408.36,HGB,11984862.69,1545.34,Industri,Baik,rendah,75315
"Jl. Kedungdoro No. 1, Surabaya",Tegalsari,6805000.0,SHM,62119625.0,40000.0,Komersial,Baik,tinggi,92014
"Jl. Raya Gubeng No. 60, Surabaya",Gubeng,5625000.0,SHM,62119625.0,6000.0,Komersial,Baik,rendah,123961
"Jl. Karang Pilang No. 7, Surabaya",Karang Pilang,1764935.91,Lainnya,46198285.39,5171.75,Industri,Buruk,rendah,75315
"Jl. Jambangan No. 6, Surabaya",Jambangan,2600491.1,HGB,27253843.09,2129.93,Komersial,Baik,rendah,50470
"Jl. Tandes No. 14, Surabaya",Tandes,1944687.65,HGB,86084193.29,8972.44,Perumahan,Buruk,tinggi,87511
"Jl. Karang Pilang No. 7, Surabaya",Karang Pilang,1866038.28,HGB,92200242.91,10070.89,Industri,Baik,tinggi,75315
"Jl. Asemrowo No. 1, Surabaya",Asemrowo,2593833.78,HGB,728524.83,56.52,Industri,Buruk,tinggi,45547
"Jl. Tenggilis Mejoyo No. 15, Surabaya",Tenggilis Mejoyo,3182629.66,SHM,128611174.62,8240.54,Komersial,Buruk,tinggi,61187
"Jl. Raya Lontar No. 88, Sambikerep, Surabaya",Sambikerep,1032000.0,HGB,43385280.0,8408.0,Komersial,Buruk,tinggi,63778
"Jl. Kenjeran No. 45, Kenjeran, Surabaya",Kenjeran,1862000.0,SHM,70364980.0,7558.0,Perumahan,Baik,rendah,181325
"Jl. Krembangan No. 8, Surabaya",Krembangan,3726574.18,HGB,86711899.04,5097.59,Industri,Baik,tinggi,109027
"Jl. Wiyung Kencana No. 21, Wiyung, Surabaya",Wiyung,1416000.0,SHM,11207640.0,1583.0,Perumahan,Buruk,tinggi,71605
"Jl. Pakal No. 10, Surabaya",Pakal,1197639.1,SHM,16250861.71,2760.26,Industri,Baik,rendah,59971
"Jl. Raya Lontar No. 88, Sambikerep, Surabaya",Sambikerep,1032000.0,SHM,4050600.0,785.0,Komersial,Baik,tinggi,63778
"Jl. Gunung Anyar Jaya No. 12, Gunung Anyar, Surabaya",Gunung Anyar,1862000.0,HGB,17176950.0,1845.0,Komersial,Buruk,rendah,62482
"Jl. Raya Rungkut No. 88, Rungkut, Surabaya",Rungkut,2352000.0,SHM,1764000.0,150.0,Perumahan,Buruk,tinggi,123757
"Jl. Simokerto No. 12, Surabaya",Simokerto,2427380.38,HGB,127028774.73,9732.43,Komersial,Buruk,tinggi,86897
"Jl. Raya Rungkut No. 88, Rungkut, Surabaya",Rungkut,2352000.0,SHM,23167200.0,1970.0,Perumahan,Baik,tinggi,123757
"Jl. Wiyung Kencana No. 21, Wiyung, Surabaya",Wiyung,1416000.0,HGB,79770360.0,11267.0,Industri,Buruk,tinggi,71605
"Jl. Pabean Cantikan No. 9, Surabaya",Pabean Cantikan,3061324.59,SHM,106656172.23,7328.17,Perumahan,Baik,rendah,75315
"Jl. Pakal No. 10, Surabaya",Pakal,1117275.93,SHM,54867666.93,9477.42,Industri,Buruk,tinggi,59971
"Jl. Raya Sememi No. 15, Benowo, Surabaya",Benowo,1032000.0,SHM,25800000.0,5000.0,Industri,Buruk,tinggi,69938
"Jl. Tandes No. 14, Surabaya",Tandes,2115272.52,HGB,2882686.48,252.23,Komersial,Baik,tinggi,87511
"Jl. HR Muhammad No. 80, Sukomanunggal, Surabaya",Sukomanunggal,5625000.0,Lainnya,5090625.0,181.0,Industri,Baik,rendah,101259
"Jl. Pakal No. 10, Surabaya",Pakal,1217905.87,HGB,56167047.22,8490.64,Industri,Baik,tinggi,59971
"Jl. Semampir No. 11, Surabaya",Semampir,1807308.08,HGB,7755319.66,875.28,Industri,Buruk,rendah,172669
"Jl. Raya Gubeng No. 60, Surabaya",Gubeng,5625000.0,SHM,9140625.0,325.0,Komersial,Buruk,rendah,123961
"Jl. Raya Rungkut No. 88, Rungkut, Surabaya",Rungkut,2352000.0,HGB,70560000.0,6000.0,Perumahan,Buruk,tinggi,123757
"Jl. Raya Gubeng No. 60, Surabaya",Gubeng,5625000.0,Lainnya,40190625.0,1429.0,Komersial,Buruk,rendah,123961
"Jl. Mulyorejo Indah No. 33, Mulyorejo, Surabaya",Mulyorejo,1357581.12,HGB,9333478.61,1350.07,Perumahan,Baik,tinggi,86545
"Jl. Tunjungan No. 1, Genteng, Surabaya",Genteng,6195000.0,HGB,6566700.0,212.0,Komersial,Buruk,tinggi,52924
"Jl. Wonokromo No. 22, Wonokromo, Surabaya",Wonokromo,5625000.0,HGB,50625000.0,1800.0,Komersial,Buruk,rendah,144650
"Jl. Tambaksari No. 5, Tambaksari, Surabaya",Tambaksari,2352000.0,SHM,3328080.0,283.0,Perumahan,Baik,rendah,214966
"Jl. Simokerto No. 12, Surabaya",Simokerto,2206657.16,Lainnya,106887063.98,8560.06,Komersial,Buruk,rendah,86897
"Jl. Kedungdoro No. 1, Surabaya",Tegalsari,6805000.0,Lainnya,9629075.0,283.0,Komersial,Baik,tinggi,92014
"Jl. Wonocolo No. 16, Surabaya",Wonocolo,2936606.01,Lainnya,109743054.8,7864.77,Perumahan,Baik,tinggi,75315
"Jl. Krembangan No. 8, Surabaya",Krembangan,3488020.17,HGB,2959537.16,173.04,Industri,Buruk,rendah,109027
"Jl. Pabean Cantikan No. 9, Surabaya",Pabean Cantikan,2929771.82,Lainnya,21302690.83,1417.84,Industri,Buruk,rendah,75315
"Jl. Wonokromo No. 22, Wonokromo, Surabaya",Wonokromo,5625000.0,HGB,50765625.0,1805.0,Komersial,Baik,tinggi,144650
"Jl. Raya Lakarsantri No. 10, Surabaya",Lakarsantri,1032000.0,HGB,4128000.0,800.0,Industri,Buruk,rendah,59256
"Jl. Wonocolo No. 16, Surabaya",Wonocolo,2785236.85,Lainnya,111663035.33,8326.05,Perumahan,Baik,tinggi,75315
"Jl. Krembangan No. 8, Surabaya",Krembangan,3403072.63,HGB,123089359.13,8020.98,Industri,Baik,tinggi,109027
"Jl. Pakal No. 10, Surabaya",Pakal,1181568.89,SHM,54294814.09,9781.64,Industri,Buruk,tinggi,59971
"Jl. Wiyung Kencana No. 21, Wiyung, Surabaya",Wiyung,1416000.0,Lainnya,4460400.0,630.0,Komersial,Baik,rendah,71605
"Jl. Pakal No. 10, Surabaya",Pakal,1240112.97,Lainnya,59943028.47,8922.39,Industri,Buruk,rendah,59971
"Jl. Tandes No. 14, Surabaya",Tandes,2093732.15,HGB,7024787.95,639.9,Komersial,Buruk,rendah,87511
"Jl. Raya Rungkut No. 88, Rungkut, Surabaya",Rungkut,2352000.0,HGB,40101600.0,3410.0,Perumahan,Baik,rendah,123757
"Jl. Wiyung Kencana No. 21, Wiyung, Surabaya",Wiyung,1416000.0,HGB,14160000.0,2000.0,Perumahan,Buruk,rendah,71605
"Jl. Kedungdoro No. 1, Surabaya",Tegalsari,6805000.0,Lainnya,27560250.0,810.0,Komersial,Baik,tinggi,92014
"Jl. Raya Sememi No. 15, Benowo, Surabaya",Benowo,1032000.0,SHM,9288000.0,1800.0,Industri,Baik,rendah,69938
"Jl. Wiyung Kencana No. 21, Wiyung, Surabaya",Wiyung,1416000.0,Lainnya,8984520.0,1269.0,Perumahan,Buruk,rendah,71605
"Jl. Kedungdoro No. 1, Surabaya",Tegalsari,6805000.0,Lainnya,62119625.0,9697.0,Komersial,Buruk,tinggi,92014
"Jl. Wonokromo No. 22, Wonokromo, Surabaya",Wonokromo,5625000.0,Lainnya,51750000.0,1840.0,Komersial,Baik,tinggi,144650
"Jl. HR Muhammad No. 80, Sukomanunggal, Surabaya",Sukomanunggal,5625000.0,HGB,111290625.0,3957.0,Industri,Buruk,tinggi,101259
"Jl. Gayungan No. 5, Surabaya",Gayungan,2863977.1,SHM,41696186.86,2814.4,Komersial,Buruk,rendah,41289
"Jl. Kenjeran No. 45, Kenjeran, Surabaya",Kenjeran,1862000.0,SHM,4263980.0,458.0,Perumahan,Baik,tinggi,181325
"Jl. Tunjungan No. 1, Genteng, Surabaya",Genteng,6195000.0,SHM,62119625.0,7950.0,Komersial,Buruk,rendah,52924
"Jl. Tenggilis Mejoyo No. 15, Surabaya",Tenggilis Mejoyo,3138747.43,Lainnya,53910843.35,3459.92,Komersial,Baik,tinggi,61187
"Jl. Wonokromo No. 22, Wonokromo, Surabaya",Wonokromo,5625000.0,Lainnya,62119625.0,13000.0,Komersial,Baik,rendah,144650
"Jl. Gunung Anyar Jaya No. 12, Gunung Anyar, Surabaya",Gunung Anyar,1862000.0,SHM,10473750.0,1125.0,Perumahan,Baik,rendah,62482
"Jl. Wiyung Kencana No. 21, Wiyung, Surabaya",Wiyung,1416000.0,Lainnya,70304400.0,9930.0,Komersial,Baik,rendah,71605
"Jl. Wonokromo No. 22, Wonokromo, Surabaya",Wonokromo,5625000.0,SHM,47812500.0,1700.0,Komersial,Baik,tinggi,144650
"Jl. HR Muhammad No. 80, Sukomanunggal, Surabaya",Sukomanunggal,5625000.0,Lainnya,94584375.0,3363.0,Industri,Buruk,tinggi,101259
"Jl. Bulak No. 3, Surabaya",Bulak,1545666.07,SHM,49450289.13,7460.59,Komersial,Buruk,rendah,43764
"Jl. Mulyorejo Indah No. 33, Mulyorejo, Surabaya",Mulyorejo,1367988.45,HGB,974671.33,130.28,Perumahan,Buruk,rendah,86545
"Jl. Krembangan No. 8, Surabaya",Krembangan,3554972.16,SHM,67968923.5,4048.41,Industri,Baik,tinggi,109027
"Jl. Bubutan No. 2, Surabaya",Bubutan,3933340.49,SHM,91682674.14,4575.41,Industri,Buruk,rendah,90646
"Jl. Jambangan No. 6, Surabaya",Jambangan,2717673.28,SHM,96316238.2,8312.03,Komersial,Buruk,rendah,50470
"Jl. Asemrowo No. 1, Surabaya",Asemrowo,2432960.37,HGB,95627858.21,7550.28,Industri,Baik,rendah,45547
"Jl. Wiyung Kencana No. 21, Wiyung, Surabaya",Wiyung,1416000.0,Lainnya,7965000.0,1125.0,Komersial,Baik,rendah,71605
"Jl. Tenggilis Mejoyo No. 15, Surabaya",Tenggilis Mejoyo,2884320.47,HGB,104500914.76,6430.77,Perumahan,Baik,rendah,61187
"Jl. Asemrowo No. 1, Surabaya",Asemrowo,2605461.11,HGB,79872024.53,6686.25,Industri,Baik,tinggi,45547
"Jl. Kenjeran No. 45, Kenjeran, Surabaya",Kenjeran,1862000.0,Lainnya,30946440.0,3324.0,Perumahan,Baik,rendah,181325
"Jl. Mulyorejo Indah No. 33, Mulyorejo, Surabaya",Mulyorejo,1364280.66,HGB,3124231.24,456.99,Perumahan,Buruk,rendah,86545
"Jl. Raya Gubeng No. 60, Surabaya",Gubeng,5625000.0,Lainnya,3093750.0,110.0,Komersial,Baik,tinggi,123961
"Jl. Wiyung Kencana No. 21, Wiyung, Surabaya",Wiyung,1416000.0,Lainnya,5904720.0,834.0,Industri,Baik,rendah,71605
"Jl. Semampir No. 11, Surabaya",Semampir,1775474.8,Lainnya,81627539.12,8673.72,Perumahan,Buruk,tinggi,172669
"Jl. Kedungdoro No. 1, Surabaya",Tegalsari,6805000.0,SHM,15311250.0,450.0,Komersial,Buruk,rendah,92014
"Jl. Wonokromo No. 22, Wonokromo, Surabaya",Wonokromo,5625000.0,SHM,56250000.0,2000.0,Komersial,Baik,rendah,144650
"Jl. Petemon No. 77, Sawahan, Surabaya",Sawahan,1416000.0,HGB,21197520.0,2994.0,Perumahan,Baik,rendah,188693
"Jl. Raya Sememi No. 15, Benowo, Surabaya",Benowo,1032000.0,Lainnya,47028240.0,9114.0,Industri,Buruk,rendah,69938
"Jl. Tambaksari No. 5, Tambaksari, Surabaya",Tambaksari,2352000.0,Lainnya,7549920.0,642.0,Perumahan,Baik,rendah,214966
"Jl. Raya Sememi No. 15, Benowo, Surabaya",Benowo,1032000.0,SHM,18323160.0,3551.0,Industri,Buruk,tinggi,69938
"Jl. Petemon No. 77, Sawahan, Surabaya",Sawahan,1416000.0,HGB,25381800.0,3585.0,Perumahan,Buruk,tinggi,188693
"Jl. Tandes No. 14, Surabaya",Tandes,1913197.19,Lainnya,80395604.03,7960.99,Komersial,Baik,tinggi,87511
"Jl. Tandes No. 14, Surabaya",Tandes,2053853.14,HGB,46733913.33,4914.15,Industri,Baik,rendah,87511
"Jl. Gayungan No. 5, Surabaya",Gayungan,3151002.59,Lainnya,52391810.78,3327.15,Komersial,Buruk,rendah,41289
"Jl. Jambangan No. 6, Surabaya",Jambangan,2311325.94,SHM,59721531.8,4670.41,Perumahan,Baik,tinggi,50470
"Jl. HR Muhammad No. 80, Sukomanunggal, Surabaya",Sukomanunggal,5625000.0,SHM,12656250.0,450.0,Industri,Buruk,tinggi,101259
"Jl. Raya Gubeng No. 60, Surabaya",Gubeng,5625000.0,Lainnya,24496875.0,871.0,Komersial,Baik,rendah,123961
"Jl. Raya Gubeng No. 60, Surabaya",Gubeng,5625000.0,Lainnya,62119625.0,9861.0,Komersial,Buruk,rendah,123961
